DOPC ,,,DOPE ,,,DSPC ,,,Glucosylceramide (Gaucher's Spleen) ,,,Cholesterol (ovine) ,,,PC Mix ,,,PE Mix ,,,PS Mix ,,,PG Mix,,,PI Mix ,,,18:1 LPA ,,,C8 L-Carnitine ,,,C12 Carnitine ,,,C16 Carnitine ,,,C18 Carnitine (d9-cis) ,,,Cer 18:1-18:1 ,,,Cer 18:1-22:0 ,,,Cer 18:1-24:0 ,,,16:0 CDP DG ,,,18:0 Lyso PA ,,,18:1 Cholesterol Ester ,,,Kidney Background,,,16:0 Cardiolipin ,,,TAG Mix ,,,Cer 18:1-12:0 ,,,Cer 18:1-24:1 ,,,Cer 18:1-18:0 ,,,DAG 16:0 ,,,DAG 18:0 and 24:0 ,,,TAG 16:0 ,,,TAG 18:1 ,,,Palmitic Acid,,,Stearic Acid,,,Docosahexaenoic Acid,,,Tetracosapentaenoic Acid,,,Sphingosine,
419.434,0.044864418,,419.434,0.033219728,,472.48,1.039221886,,419.434,0.024186736,,419.434,0.203774954,,64.681,0.126717091,,472.48,0.075375734,,64.681,0.179484587,,86.5642,3710.86,,86.5642,0.475649116,,86.5642,0.672296633,,419.434,0.023163972,,419.434,0.153758304,,419.434,0.04232383,,419.434,0.074735715,,472.48,2.447215383,,86.5642,1.23999999,,86.5642,1.187792969,,64.681,0.351484577,,64.681,0.146882107,,419.434,0.04785977,,472.48,0.450997821,,86.9399,0.402211039,,419.434,0.176194766,,120.614,0.133214844,,86.5642,0.257370703,,447.238,0.014319961,,447.238,0.016012771,,447.238,0.013660669,,447.238,0.009393738,,447.238,0.014934478,,86.5642,57718,,86.5642,41691.9,,86.5642,56851.1,,86.5642,7936.72,,107.349,407.992
421.238,0.044789935,,421.238,0.033488418,,479.642,1.030964096,,421.238,0.023183613,,421.238,0.204879688,,66.9876,0.11732091,,479.642,0.075270895,,66.9876,0.172573518,,91.1596,3251.05,,91.1596,0.430968242,,91.1596,0.602927158,,421.238,0.025260624,,421.238,0.150227351,,421.238,0.042434399,,421.238,0.076119962,,479.642,2.432113522,,91.1596,1.238366588,,91.1596,1.184742039,,66.9876,0.348122019,,66.9876,0.140419348,,421.238,0.06726286,,479.642,0.450970561,,91.4092,0.367096847,,421.238,0.175535913,,128.122,0.127708147,,91.1596,0.220738896,,451.561,0.012741614,,451.561,0.016597402,,451.561,0.015116208,,451.561,0.009301212,,451.561,0.017247624,,91.1596,46838.4,,91.1596,39051.5,,91.1596,51296.2,,91.1596,6647.79,,108.083,413
423.043,0.045637354,,423.043,0.033644694,,486.795,1.018807944,,423.043,0.021590999,,423.043,0.205375128,,69.2979,0.109156422,,486.795,0.07351932,,69.2979,0.159309903,,95.7506,2982.66,,95.7506,0.406425201,,95.7506,0.551578939,,423.043,0.026598865,,423.043,0.145773713,,423.043,0.038721921,,423.043,0.07556273,,486.795,2.404576977,,95.7506,1.237058815,,95.7506,1.184824012,,69.2979,0.34548741,,69.2979,0.142774018,,423.043,0.083064894,,486.795,0.435328612,,95.8722,0.339867572,,423.043,0.177177172,,135.622,0.070886368,,95.7506,0.206859768,,455.88,0.015266652,,455.88,0.017995772,,455.88,0.015043297,,455.88,0.011763856,,455.88,0.013222331,,95.7506,40794.8,,95.7506,35381.1,,95.7506,47423.3,,95.7506,6012.87,,108.818,410.866
424.847,0.046292876,,424.847,0.034208919,,493.944,0.999453282,,424.847,0.022396259,,424.847,0.209348701,,71.6033,0.100339175,,493.944,0.06989388,,71.6033,0.147165449,,100.337,2602.76,,100.337,0.397764086,,100.337,0.536465058,,424.847,0.029402052,,424.847,0.14018847,,424.847,0.039609491,,424.847,0.076443682,,493.944,2.366368266,,100.337,1.238863037,,100.337,1.186753011,,71.6033,0.332926703,,71.6033,0.128774429,,424.847,0.087345324,,493.944,0.397610166,,100.331,0.321073013,,424.847,0.177264422,,143.114,0.030131995,,100.337,0.20144025,,460.194,0.018940765,,460.194,0.014642427,,460.194,0.015211877,,460.194,0.009603612,,460.194,0.013347776,,100.337,37573.2,,100.337,32490.7,,100.337,44514.4,,100.337,5649.94,,109.553,401.263
426.65,0.04608262,,426.65,0.034098723,,501.083,0.977963133,,426.65,0.022147617,,426.65,0.207438162,,73.9082,0.096294867,,501.083,0.065600769,,73.9082,0.145006873,,104.917,2255.6,,104.917,0.386515986,,104.917,0.503883973,,426.65,0.02846734,,426.65,0.138790405,,426.65,0.039698974,,426.65,0.082400477,,501.083,2.330807544,,104.917,1.240387101,,104.917,1.186880827,,73.9082,0.342485074,,73.9082,0.12645401,,426.65,0.08937142,,501.083,0.366300836,,104.783,0.306365128,,426.65,0.178973852,,150.602,0.019034394,,104.917,0.190696449,,464.505,0.019408828,,464.505,0.013956914,,464.505,0.014804668,,464.505,0.00687058,,464.505,0.016708797,,104.917,35823.6,,104.917,31680.3,,104.917,42699.5,,104.917,5491.01,,110.288,382.253
428.452,0.046806821,,428.452,0.034637422,,508.215,0.964339049,,428.452,0.022176649,,428.452,0.199255185,,76.2125,0.090678065,,508.215,0.060189596,,76.2125,0.139683962,,109.495,1772.38,,109.495,0.368519845,,109.495,0.478218145,,428.452,0.025112342,,428.452,0.138010186,,428.452,0.037885446,,428.452,0.083062351,,508.215,2.312855352,,109.495,1.236595758,,109.495,1.183293058,,76.2125,0.341062164,,76.2125,0.11300668,,428.452,0.08608759,,508.215,0.318045014,,109.235,0.291450858,,428.452,0.179185128,,158.079,0.041747074,,109.495,0.17416418,,468.812,0.016608853,,468.812,0.012295552,,468.812,0.013504091,,468.812,0.008077071,,468.812,0.01370081,,109.495,32698,,109.495,30837.9,,109.495,40824.6,,109.495,4924.08,,111.023,374.4
430.255,0.04777397,,430.255,0.035343361,,515.341,0.976228234,,430.255,0.022217881,,430.255,0.181375112,,78.512,0.089725236,,515.341,0.05603183,,78.512,0.137595249,,114.069,1485.84,,114.069,0.334998801,,114.069,0.436223684,,430.255,0.019635588,,430.255,0.138605279,,430.255,0.04396495,,430.255,0.080176334,,515.341,2.328680607,,114.069,1.23037381,,114.069,1.179653415,,78.512,0.344324189,,78.512,0.110992979,,430.255,0.07365915,,515.341,0.309157224,,113.679,0.274699424,,430.255,0.178812737,,165.549,0.06641637,,114.069,0.147389043,,473.113,0.015188458,,473.113,0.014883932,,473.113,0.014190765,,473.113,0.012936586,,473.113,0.020768735,,114.069,28180.4,,114.069,29139.5,,114.069,38257.7,,114.069,4731.15,,111.758,367.614
432.057,0.048181162,,432.057,0.036145315,,522.458,1.017147432,,432.057,0.020363214,,432.057,0.159648789,,80.8151,0.083418588,,522.458,0.051006339,,80.8151,0.129542012,,118.636,1340.69,,118.636,0.305355483,,118.636,0.411961778,,432.057,0.015865759,,432.057,0.138942436,,432.057,0.043936234,,432.057,0.077390172,,522.458,2.437130297,,118.636,1.226703617,,118.636,1.177840169,,80.8151,0.344074703,,80.8151,0.111036613,,432.057,0.060101205,,522.458,0.27963191,,118.119,0.25892282,,432.057,0.177845118,,173.01,0.032471586,,118.636,0.124618365,,477.412,0.014902453,,477.412,0.014821245,,477.412,0.015834502,,477.412,0.01313809,,477.412,0.01959443,,118.636,25260.8,,118.636,27855,,118.636,36404.8,,118.636,4344.22,,112.493,361.223
433.858,0.048850396,,433.858,0.036794594,,529.567,1.096263825,,433.858,0.018667233,,433.858,0.134662285,,83.1156,0.077300304,,529.567,0.045728723,,83.1156,0.123373346,,123.203,1220.7,,123.203,0.287789714,,123.203,0.377458408,,433.858,0.018638088,,433.858,0.13756932,,433.858,0.043664242,,433.858,0.072234094,,529.567,2.608759834,,123.203,1.225827401,,123.203,1.177432413,,83.1156,0.33557154,,83.1156,0.129942271,,433.858,0.046743219,,529.567,0.242408424,,122.556,0.246377747,,433.858,0.179538606,,180.463,0,,123.203,0.105088,,481.707,0.013618752,,481.707,0.015286847,,481.707,0.014367675,,481.707,0.016992717,,481.707,0.015922844,,123.203,23283.3,,123.203,27428.6,,123.203,34659.9,,123.203,4169.29,,113.227,355.427
435.659,0.049710292,,435.659,0.036938828,,536.67,1.193520087,,435.659,0.016231775,,435.659,0.117146336,,85.4155,0.071824388,,536.67,0.040582557,,85.4155,0.116348555,,127.763,1084.75,,127.763,0.275969376,,127.763,0.360451102,,435.659,0.02084034,,435.659,0.138859279,,435.659,0.046701096,,435.659,0.074610686,,536.67,2.827726435,,127.763,1.225352494,,127.763,1.177351525,,85.4155,0.329558659,,85.4155,0.11976669,,435.659,0.033231988,,536.67,0.233471134,,126.987,0.237146675,,435.659,0.178463403,,187.909,0,,127.763,0.093852267,,485.998,0.013472983,,485.998,0.015557119,,485.998,0.014801905,,485.998,0.014726149,,485.998,0.014651439,,127.763,22021.7,,127.763,26416.2,,127.763,33375,,127.763,3864.37,,113.962,349.101
437.46,0.050699103,,437.46,0.036842303,,543.766,1.275423064,,437.46,0.015254582,,437.46,0.108436375,,87.7127,0.06641433,,543.766,0.034371227,,87.7127,0.107758024,,132.319,902.743,,132.319,0.277981854,,132.319,0.348695506,,437.46,0.034278486,,437.46,0.140028094,,437.46,0.046051292,,437.46,0.072431184,,543.766,3.02158656,,132.319,1.225248646,,132.319,1.177438384,,87.7127,0.308842127,,87.7127,0.106478611,,437.46,0.024766185,,543.766,0.240944617,,131.41,0.229482944,,437.46,0.178558871,,195.348,0.019600891,,132.319,0.088645719,,490.282,0.012929581,,490.282,0.015675445,,490.282,0.01433041,,490.282,0.01256061,,490.282,0.020384594,,132.319,21868.1,,132.319,26053.8,,132.319,32398.1,,132.319,3773.44,,114.697,347.12
439.261,0.052519121,,439.261,0.036526426,,550.855,1.319371156,,439.261,0.013838411,,439.261,0.101085109,,90.0115,0.059954474,,550.855,0.0286229,,90.0115,0.10074716,,136.869,826.171,,136.869,0.273636939,,136.869,0.338735639,,439.261,0.045003162,,439.261,0.141676017,,439.261,0.046009068,,439.261,0.073467945,,550.855,3.14270584,,136.869,1.223857544,,136.869,1.176698814,,90.0115,0.300917027,,90.0115,0.089722439,,439.261,0.019058352,,550.855,0.21611755,,135.832,0.224508137,,439.261,0.179465183,,202.779,0.030246062,,136.869,0.084579768,,494.565,0.013458547,,494.565,0.022222577,,494.565,0.016964746,,494.565,0.017288251,,494.565,0.024954529,,136.869,22698.5,,136.869,26935.4,,136.869,31785.3,,136.869,3532.51,,115.432,351.328
441.061,0.054927547,,441.061,0.037488354,,557.936,1.309732346,,441.061,0.013799564,,441.061,0.099118272,,92.3075,0.054191749,,557.936,0.02509984,,92.3075,0.093359495,,141.418,758.151,,141.418,0.270458084,,141.418,0.320498192,,441.061,0.064508727,,441.061,0.140295188,,441.061,0.045325285,,441.061,0.072321354,,557.936,3.121286202,,141.418,1.223125232,,141.418,1.175498468,,92.3075,0.288807298,,92.3075,0.091122743,,441.061,0.016034216,,557.936,0.19807801,,140.249,0.219984586,,441.061,0.175758533,,210.2,0.014279765,,141.418,0.083543407,,498.844,0.013824689,,498.844,0.020418907,,498.844,0.016881511,,498.844,0.013071836,,498.844,0.03193993,,141.418,22900.9,,141.418,30413,,141.418,31206.4,,141.418,3689.58,,116.167,353.442
442.859,0.056855213,,442.859,0.038386378,,565.009,1.258143137,,442.859,0.014570706,,442.859,0.099349653,,94.6031,0.052164008,,565.009,0.020109364,,94.6031,0.090038482,,145.959,616.792,,145.959,0.263170171,,145.959,0.313741714,,442.859,0.073449239,,442.859,0.141862661,,442.859,0.04954004,,442.859,0.073191006,,565.009,3.023115768,,145.959,1.221953714,,145.959,1.174534512,,94.6031,0.2804916,,94.6031,0.087180014,,442.859,0.015313563,,565.009,0.160354309,,144.661,0.21458982,,442.859,0.180230679,,217.617,-0.00035374,,145.959,0.073539382,,503.116,0.019455905,,503.116,0.018534688,,503.116,0.016920968,,503.116,0.018365586,,503.116,0.027419647,,145.959,21503.3,,145.959,34942.6,,145.959,30187.5,,145.959,3336.66,,116.902,361.746
444.658,0.059008822,,444.658,0.039621834,,572.075,1.200565686,,444.658,0.014383231,,444.658,0.101449166,,96.8959,0.047865623,,572.075,0.019010792,,96.8959,0.08732973,,150.5,427.976,,150.5,0.251733872,,150.5,0.281705752,,444.658,0.08221483,,444.658,0.144328744,,444.658,0.047212453,,444.658,0.077689109,,572.075,2.901491723,,150.5,1.221198648,,150.5,1.173715381,,96.8959,0.273432941,,96.8959,0.089059031,,444.658,0.016151107,,572.075,0.152490249,,149.071,0.209829011,,444.658,0.179963971,,225.025,-0.000202941,,150.5,0.062365515,,507.389,0.019559169,,507.389,0.019249149,,507.389,0.017274963,,507.389,0.01483394,,507.389,0.0312003,,150.5,21771.7,,150.5,32572.2,,150.5,29166.6,,150.5,3517.73,,117.637,369.832
446.457,0.060773174,,446.457,0.041559458,,579.137,1.130534204,,446.457,0.015338345,,446.457,0.106222371,,99.1903,0.046679347,,579.137,0.018541943,,99.1903,0.081730952,,155.034,275.33,,155.034,0.242949417,,155.034,0.273837526,,446.457,0.072274889,,446.457,0.149227234,,446.457,0.050925591,,446.457,0.082077084,,579.137,2.745020951,,155.034,1.220193749,,155.034,1.173109719,,99.1903,0.268016299,,99.1903,0.093550272,,446.457,0.020030532,,579.137,0.121355721,,153.472,0.20514475,,446.457,0.17630928,,232.424,0.003062658,,155.034,0.05503173,,511.654,0.01357949,,511.654,0.019909712,,511.654,0.016891499,,511.654,0.014805335,,511.654,0.035267304,,155.034,24866.1,,155.034,28217.8,,155.034,28325.7,,155.034,3392.8,,118.371,368.926
