sample_idx,pearson_correlation,mse
0,0.9930912214672866,0.0068458742
1,0.9925293542978998,0.0022975588
2,0.9840894179432944,0.00354789
3,0.975326333932778,0.008040904
4,0.9927879582764552,0.0016258378
5,0.9935670765379697,0.0028417201
6,0.992636332215423,0.0030899234
7,0.9937826286989702,0.003909103
8,0.9936881918160222,0.0048870873
9,0.9921103377369158,0.0052092313
10,0.9917575807225026,0.002207019
11,0.9927098453228159,0.006551877
12,0.9933244582905616,0.004878272
13,0.9934911253472097,0.008205477
14,0.9938271871576589,0.0020322173
15,0.9936741238091988,0.004639384
16,0.9937192535366761,0.007494725
17,0.988723463536617,0.002487701
18,0.9844861883871175,0.0118143475
19,0.9904462004550909,0.0063224994
20,0.9936988120531636,0.0075772284
21,0.98850632795764,0.002538839
22,0.9929601850694219,0.007284325
23,0.9867145697978752,0.0036655366
24,0.9940404947002744,0.0053605293
25,0.9931218015222366,0.0044687157
26,0.9907255516268602,0.002129944
27,0.9935482045953367,0.007980193
28,0.9923024472064863,0.0035383333
29,0.9937544787816845,0.003635583
30,0.9933437082794436,0.0039028733
31,0.9936741824760276,0.0067042853
32,0.9936211574414808,0.0044497903
33,0.991638258571028,0.0029375313
34,0.9936823347989099,0.005180052
35,0.9929003616444522,0.0064878366
36,0.9827443063557468,0.020205706
37,0.9939207854725058,0.0029118266
38,0.9937281905664214,0.0039379676
39,0.9910513263503891,0.0022078375
40,0.9872091046840688,0.004201431
41,0.9900673906149342,0.0036506164
42,0.992851087621388,0.005744646
43,0.9939713446528007,0.0033515205
44,0.9915680339018521,0.0027237174
45,0.9864408693246834,0.0052925283
46,0.9934289123207045,0.0017016709
47,0.9938730173434748,0.0027853874
48,0.9933301362650413,0.010344428
49,0.9938148186251949,0.009905909
50,0.991753624715056,0.0063503636
51,0.9923929153445771,0.0024045128
52,0.9922778556743705,0.0017243567
53,0.9941824484012806,0.0036227272
54,0.9930532730225832,0.0049403165
55,0.9927178592207776,0.0047223573
56,0.9885757578704539,0.0045042746
57,0.9927156392776594,0.007427723
58,0.9935167173527262,0.0018929468
59,0.9914165169136355,0.002278163
60,0.9921850835751549,0.011898443
61,0.9935545780378507,0.004120858
62,0.9936530844622531,0.0036303895
63,0.9930957446474047,0.0021390314
64,0.9918116651987455,0.0018419522
65,0.9933602533158924,0.006259277
