,Phosphatidylethanolamine,Phospholipid,Cholesterol,Cardiolipin,Sphingosine,Cholesterol ester,Dsg-Phosphatidylinositol,L-alpha-Phosphatidylinositol,L-alpha-Phosphatidylglycerol,Lyso-Phosphatidate,Phosphatidylcholine,Triglyceride,Palmitic Acid,Stearic Acid,Docosahexaenoic Acid,Omega-3 25-5,Ceramide 24-0,Ceramide 22-0,Ceramide 24-1,Phosphatidylcholine 18-1,Phosphatidylethanolamine 18-1,"Ceramide 18-1,22-0","Deoxyceramide 18-1,24-1","Deoxyceramide 18-1,16-0","Dihydroceramide 18-0,14-0"
2736.180905,0.045080322,0.060476519,0.039798822,0.055629794,0.049604315,0.056200333,0.052660479,0.060817732,0.064285876,0.03887658,0.052774995,0.054685435,0.037116312,0.03073702,0.013490779,0.031936505,0.042327736,0.044572201,0.022524082,0.06526275,0.078594004,0.056088307,0.02308527,0.039678553,0.033452711
2738.190955,0.034925782,0.052134193,0.039816155,0.051586952,0.043881752,0.05357578,0.050572256,0.056137223,0.056210311,0.03123086,0.047393348,0.052524044,0.031948159,0.026334609,0.011026457,0.021759725,0.038288729,0.039537866,0.017133492,0.060898649,0.074176323,0.050871232,0.01953001,0.03440047,0.026515931
2740.201005,0.025070756,0.056235654,0.039029339,0.047859438,0.03866906,0.051019796,0.046684042,0.05085916,0.049598565,0.023342762,0.042845414,0.047790961,0.027577963,0.023106869,0.009932313,0.02012625,0.034457837,0.036022023,0.012512336,0.057366747,0.070077751,0.047555011,0.01755242,0.030575784,0.022315227
2742.211055,0.028015458,0.05385149,0.038037515,0.044134181,0.036261706,0.049053865,0.042683821,0.046501666,0.045461516,0.02578426,0.039189682,0.044440239,0.024175912,0.020061584,0.010506649,0.017402776,0.031656723,0.033953876,0.011248274,0.054671954,0.066356871,0.046085779,0.014396482,0.028253619,0.018565124
2744.221106,0.02246372,0.047549028,0.034786196,0.040891655,0.033490661,0.047372536,0.039716132,0.043632075,0.044014559,0.02673432,0.035878739,0.042083057,0.02166728,0.017992121,0.010691686,0.01097136,0.03008911,0.032291298,0.010288624,0.052556821,0.063074622,0.04571772,0.012033274,0.026680876,0.017060153
2746.231156,0.020323186,0.052626094,0.035370117,0.038413356,0.02978042,0.046160775,0.036405674,0.041414612,0.044107573,0.016894439,0.033006639,0.03833082,0.019624278,0.017672673,0.009728474,0.008453795,0.028787079,0.030466533,0.00712076,0.050653987,0.060292634,0.045413673,0.012639233,0.025026347,0.01778097
2748.241206,0.022832595,0.050499073,0.032108138,0.036001745,0.033226095,0.046797736,0.033021786,0.039327972,0.043129646,0.016715302,0.030842172,0.035289472,0.018122196,0.016738986,0.009622014,0.006790047,0.027228924,0.029118806,0.006858532,0.04884957,0.058056571,0.044738103,0.012328418,0.023485669,0.013595313
2750.251256,0.015538994,0.051257203,0.032717889,0.033180549,0.031126798,0.047365415,0.028983792,0.037771928,0.039744063,0.011914677,0.029770212,0.031171229,0.017126388,0.015722068,0.008600029,0.009088908,0.026723682,0.028782968,0.00603006,0.047383314,0.056389865,0.044094989,0.011228465,0.021893635,0.010788829
2752.261307,0.006555973,0.044133703,0.031321508,0.031011937,0.029425475,0.047249487,0.029258588,0.035695886,0.035049193,0.004043917,0.027723832,0.027449548,0.016206786,0.015126623,0.009740842,0.004413028,0.026003067,0.028899683,0.00312067,0.046425041,0.055294062,0.043801773,0.009632967,0.020846812,0.010347727
2754.271357,0.009925821,0.045916792,0.033747394,0.029375371,0.028237078,0.047912437,0.030147122,0.034218194,0.031242407,0.002397203,0.025791291,0.025164269,0.015348149,0.014864219,0.011481094,0.00303159,0.024576924,0.028236314,0.001062091,0.045685464,0.054674016,0.04346559,0.009354795,0.020713272,0.008417528
2756.281407,0.012197366,0.049763257,0.0339483,0.027985233,0.026606288,0.049265513,0.024139214,0.034841734,0.029653494,0.004960182,0.026444343,0.022882887,0.014983911,0.014715713,0.009219978,0.020755257,0.024068616,0.026513744,0.00221725,0.044759487,0.054401698,0.042507787,0.010686701,0.02059319,0.005052488
2758.291457,0,0.041876389,0.0364508,0.027126082,0.028649646,0.046649771,0.023035962,0.03330559,0.029381558,0.002948067,0.02498739,0.020735082,0.014886194,0.01453927,0.010050594,0.017649261,0.024358932,0.025616664,0.002776139,0.043710003,0.054259639,0.040927328,0.007924653,0.019101287,0.00681743
2760.301508,0.005282645,0.044911738,0.036340189,0.026589101,0.030449638,0.042800499,0.023229662,0.032778616,0.028034497,0.00590535,0.024288564,0.018596813,0.014360634,0.01420122,0.011366244,0.00654362,0.02402032,0.025641572,0.002693026,0.043057963,0.053942904,0.039288591,0.009746856,0.017954067,0.006796574
2762.311558,0.007065987,0.044918773,0.03267301,0.026808395,0.030249055,0.03975018,0.023361882,0.033446609,0.027082767,0.006721639,0.0241737,0.017426557,0.013765468,0.01376718,0.012477314,0.004308663,0.023204481,0.025911897,0.003067446,0.043110267,0.053332449,0.038012755,0.009920956,0.017455845,0.005503286
